business_name,text,predicted_label,prediction_reason,description,category
Sunset Diner,next,Irrelevant,The text is too short and does not provide meaningful business-related information.,A cozy family-owned restaurant serving comfort food classics.,"['Restaurant', 'Diner', 'Cafe']"
Ocean Breeze Cafe,sure,Irrelevant,The text is too short and does not provide meaningful business-related information.,A beachfront cafe offering fresh coffee and pastries with ocean views.,"['Cafe', 'Bakery', 'Coffeehouse']"
Green Valley Market,who cares,Irrelevant,The text is too short and does not provide meaningful business-related information.,Local farmers market featuring organic produce and handmade goods.,"['Market', 'Grocery store']"
City Lights Bar,good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Trendy downtown bar with live music and craft cocktails.,"['Bar', 'Pub']"
Golden Dragon Restaurant,too bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Authentic Chinese cuisine with a wide selection of dim sum and noodles.,"['Restaurant', 'Chinese restaurant']"
Lakeside Bookstore,ok then,Irrelevant,The text is too short and does not provide meaningful business-related information.,Independent bookstore with a curated selection of novels and art books.,"['Bookstore', 'Shop']"
Harmony Yoga Center,zzz,Irrelevant,The text is too short and does not provide meaningful business-related information.,Yoga studio specializing in mindfulness and wellness classes.,"['Yoga studio', 'Fitness center']"
TechFix Hub,yes,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Tech repair shop for phones, laptops, and tablets.","['Computer repair service', 'Electronics store']"
Silverline Gym,fine,Irrelevant,The text is too short and does not provide meaningful business-related information.,Modern fitness center with personal training and group classes.,"['Gym', 'Fitness center']"
Blue Lagoon Spa,meh,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Luxury spa offering massages, facials, and wellness treatments.","['Spa', 'Beauty salon']"
Urban Bites,no,Irrelevant,The text is too short and does not provide meaningful business-related information.,Casual dining spot known for burgers and milkshakes.,"['Restaurant', 'Fast food restaurant']"
Sunny Day Bakery,too bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Bakery offering artisan breads, cakes, and desserts.","['Bakery', 'Dessert shop']"
Maple Leaf Clinic,all good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Healthcare clinic providing family medicine and consultations.,"['Clinic', 'Medical center']"
DreamStay Hotel,ok,Irrelevant,The text is too short and does not provide meaningful business-related information.,Upscale hotel offering luxury rooms and conference facilities.,"['Hotel', 'Lodging']"
Riverwalk Coffee,not good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Coffeehouse with specialty brews and a relaxed atmosphere.,"['Cafe', 'Coffee shop']"
Skyline Fitness,sure,Irrelevant,The text is too short and does not provide meaningful business-related information.,Comprehensive gym with state-of-the-art equipment.,"['Gym', 'Sports center']"
Lotus Garden,yes,Irrelevant,The text is too short and does not provide meaningful business-related information.,Fine dining restaurant with an extensive wine list.,"['Restaurant', 'Fine dining']"
NextGen Electronics,oops,Irrelevant,The text is too short and does not provide meaningful business-related information.,Electronics store specializing in computers and accessories.,"['Electronics store', 'Computer store']"
Pinewood Theater,not good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Neighborhood theater showcasing indie films and classics.,"['Theater', 'Cinema']"
Starshine Salon,hmm,Irrelevant,The text is too short and does not provide meaningful business-related information.,Beauty salon providing hair styling and spa treatments.,"['Beauty salon', 'Spa']"
Sunset Diner,next,Irrelevant,The text is too short and does not provide meaningful business-related information.,A cozy family-owned restaurant serving comfort food classics.,"['Restaurant', 'Diner', 'Cafe']"
Ocean Breeze Cafe,why,Irrelevant,The text is too short and does not provide meaningful business-related information.,A beachfront cafe offering fresh coffee and pastries with ocean views.,"['Cafe', 'Bakery', 'Coffeehouse']"
Green Valley Market,no,Irrelevant,The text is too short and does not provide meaningful business-related information.,Local farmers market featuring organic produce and handmade goods.,"['Market', 'Grocery store']"
City Lights Bar,too bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Trendy downtown bar with live music and craft cocktails.,"['Bar', 'Pub']"
Golden Dragon Restaurant,skip,Irrelevant,The text is too short and does not provide meaningful business-related information.,Authentic Chinese cuisine with a wide selection of dim sum and noodles.,"['Restaurant', 'Chinese restaurant']"
Lakeside Bookstore,none,Irrelevant,The text is too short and does not provide meaningful business-related information.,Independent bookstore with a curated selection of novels and art books.,"['Bookstore', 'Shop']"
Harmony Yoga Center,sure,Irrelevant,The text is too short and does not provide meaningful business-related information.,Yoga studio specializing in mindfulness and wellness classes.,"['Yoga studio', 'Fitness center']"
TechFix Hub,bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Tech repair shop for phones, laptops, and tablets.","['Computer repair service', 'Electronics store']"
Silverline Gym,none,Irrelevant,The text is too short and does not provide meaningful business-related information.,Modern fitness center with personal training and group classes.,"['Gym', 'Fitness center']"
Blue Lagoon Spa,next,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Luxury spa offering massages, facials, and wellness treatments.","['Spa', 'Beauty salon']"
Urban Bites,ok,Irrelevant,The text is too short and does not provide meaningful business-related information.,Casual dining spot known for burgers and milkshakes.,"['Restaurant', 'Fast food restaurant']"
Sunny Day Bakery,none,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Bakery offering artisan breads, cakes, and desserts.","['Bakery', 'Dessert shop']"
Maple Leaf Clinic,sure,Irrelevant,The text is too short and does not provide meaningful business-related information.,Healthcare clinic providing family medicine and consultations.,"['Clinic', 'Medical center']"
DreamStay Hotel,sure,Irrelevant,The text is too short and does not provide meaningful business-related information.,Upscale hotel offering luxury rooms and conference facilities.,"['Hotel', 'Lodging']"
