business_name,text,predicted_label,prediction_reason,name,description,category
Seafood Zone,Biging of crawfish season pretty good ending bad,Valid,"The review discusses crawfish season and provides an opinion on the food quality, which is directly relevant to this seafood restaurant. Despite the brief and grammatically imperfect text, it describes a genuine dining experience at the location.",Seafood Zone,"Small counter-service spot lures locals with seafood favorites plus po' boys, gumbo & more.",['Seafood restaurant']
Zury Beauty Supply,I love their beauty products so much!,Valid,"The review describes a genuine positive experience with beauty products at a beauty supply store, and the 5-star rating is consistent with the enthusiastic text content.",Zury Beauty Supply,,['Beauty product supplier']
Albertsons,Most of time I'm satisfied but not today.  I went in for salad mix that was on sale of course there wasn't any this was at 12 o'clock noon had plenty of time to restock shelves asked someone and was told after waiting 5 minutes they didn't have any. Then I tried to get a bag of the 39 cents avocados  and told at register these weren't the ones with sign by them. I give up on sale items,Valid,"The review describes a genuine shopping experience at Albertsons grocery store, mentioning specific issues with sale items (salad mix and avocados), restocking problems, and customer service interactions. The content is directly relevant to the grocery store business and reflects a real visit experience.",Albertsons,,['Grocery store']
McDonald's,Good place to eat employees are great need to work on friendliness,Valid,"The review provides a genuine experience about dining at McDonald's, mentioning both positive aspects (good place to eat, great employees) and constructive feedback (need to work on friendliness). The content is directly relevant to the restaurant and reflects an actual visit.",McDonald's,"Classic, long-running fast-food chain known for its burgers, fries & shakes.","['Fast food restaurant', 'Breakfast restaurant', 'Coffee shop', 'Hamburger restaurant', 'Restaurant', 'Sandwich shop']"
False River Veterinary Clinic,Great staff!,Valid,"The review provides a positive assessment of the staff at a veterinary clinic, which is directly relevant to the business. The 5-star rating is consistent with the positive feedback about the staff experience.",False River Veterinary Clinic,,['Veterinary care']
Byrd Regional Hospital,"Good parking lot was full, but able to find a spot not to far away.
No reception desk at the entrance we used. But we're able to use signs to find our way to maternity ward. The nursing staff were polite and helpful. The free WiFi sucks, slow, throddlers back Facebook, Instagram, photos, and games. The cafeteria has limited hours, so pick up something in town, (Bj's Diner is good).",Valid,"The review describes a genuine experience visiting the hospital, covering multiple aspects like parking, navigation, nursing staff, WiFi, and cafeteria. The content is directly relevant to the hospital's services and facilities, and the 5-star rating aligns with the overall positive tone despite mentioning some minor issues.",Byrd Regional Hospital,,"['General hospital', 'Hospital']"
Ideal Express,I walked in felt confused about the menu had flies buzzing around walked out won't be back,Valid,"The review describes a genuine visit experience at the location, mentioning specific details like confusion about the menu and flies buzzing around, which are relevant concerns for a food establishment. The 1-star rating is consistent with the negative experience described.",Ideal Express,,"['Supermarket', 'Bakery', 'Cake shop', 'Grocery store', 'Juice shop', 'Latin American restaurant', 'Produce market']"
McDonald's,Great drive thru,Valid,"The review describes a genuine experience with McDonald's drive-thru service, which is directly relevant to this fast-food restaurant. The 5-star rating is consistent with the positive feedback about the drive-thru experience.",McDonald's,"Classic, long-running fast-food chain known for its burgers, fries & shakes.","['Fast food restaurant', 'Breakfast restaurant', 'Coffee shop', 'Hamburger restaurant', 'Restaurant', 'Sandwich shop']"
Audubon Aquarium of the Americas,Brought my son and niece and we had an amazing time!! The staff is so friendly and we will be back!!,Valid,"The review describes a genuine visit experience to the aquarium with family members, mentions positive interaction with staff, and expresses intent to return. The 5-star rating is consistent with the enthusiastic positive feedback.",Audubon Aquarium of the Americas,"Marine exhibits plus a 400,000-gallon tank with coral reefs, sharks, rays & a walk-through tunnel.","['Aquarium', 'Tourist attraction']"
Kiroli Park,Quiet and peaceful,Valid,"The review describes a genuine experience at the park with relevant adjectives ('quiet and peaceful') that appropriately relate to a park setting, and the 5-star rating is consistent with the positive sentiment.",Kiroli Park,"Playgrounds, tennis courts, gardens & scenic trails featured in 150-acre preserve with dog park.","['Park', 'Campground']"
