business_name,text,predicted_label,prediction_reason,index,rating,error,name,description,category
Springs at Lakeline,"Springs at lakeline is my Home, I really love this place, the management staff is amaizing Ashley, Abigail and Cory... The club house is beautiful, I really appreciate the cleanliness of the complex in general, I love the amenities...
Keep working guys....",Valid,"The review describes a genuine residential experience at the apartment complex, mentioning specific staff members by name, praising amenities, cleanliness, and management. The 5-star rating is consistent with the positive content about living there.",,,,Springs at Lakeline,,"['Apartment complex', 'Apartment building', 'Apartment rental agency']"
Family Thrift Center,Good prices. A lot to chose from,Valid,"The review provides a genuine assessment of the thrift store, mentioning 'good prices' and 'a lot to chose from' which are relevant aspects customers would expect at a thrift store. The 5-star rating is consistent with the positive feedback.",,,,Family Thrift Center,,['Thrift store']
Kolache Factory,"Excellent service! Friendly ans accommodating!They are well equipped to deal with current times, and do require face masks, which makes me feel safe! Highly recommended!",Valid,"The review describes a genuine experience at the restaurant, praising the service quality, staff friendliness, and safety measures. The content is directly relevant to the business categories (Restaurant, Bakery, etc.) and the 5-star rating aligns with the positive feedback.",,,,Kolache Factory,"Counter-serve chain with classic Czech pastries in sweet & savory flavors, plus other baked goods.","['Restaurant', 'Bakery', 'Breakfast restaurant', 'Brunch restaurant', 'Cafe', 'Caterer', 'Coffee shop']"
Perry's Steakhouse & Grille,Are you kidding me?? The bacon wrapped scallops!!!!! The fried asparagus with lump crab meat!!!!! Shut! Up!!!!!!,Valid,The review expresses genuine enthusiasm about specific menu items (bacon wrapped scallops and fried asparagus with lump crab meat) that are consistent with Perry's Steakhouse & Grille's upscale dining concept. The excited tone and 5-star rating reflect a positive dining experience at the location.,,,,Perry's Steakhouse & Grille,"Chops, seafood, wine & cocktails served in an upscale setting with a lounge & live jazz.",['Steak house']
Graves Custom Muffler,"Once again, another custom job by the fellas there. They installed a side exit exhaust flawlessly.  We sell customized vehicles and Graves takes care of all of the exhaust needs we have. No discount made me post this. The money you spend will be spent well, taking custom work or just a simple exhaust repair this family has got it down.",Valid,"The review describes a genuine business experience with a muffler shop, detailing specific services (custom exhaust installation, side exit exhaust) that directly relate to the business category. The reviewer mentions being a repeat customer and specifically addresses that no discount influenced their review, which actually reinforces authenticity rather than suggesting advertisement.",,,,Graves Custom Muffler,,['Muffler shop']
Honore's Cajun Cafe,"All I can say is wow, those were the biggest tastiest crawdads I have eaten in years. Honore's is one of the finest restaurants for cajun food in this area in years. Hihgly recommend",Valid,"The review describes a genuine dining experience at the restaurant, specifically mentioning crawdads and Cajun food which aligns with the business name 'Honore's Cajun Cafe' and restaurant category. The 5-star rating is consistent with the highly positive text and recommendation.",,,,Honore's Cajun Cafe,,['Restaurant']
Memorial City Mall,One stop shop,Valid,"The review text 'One stop shop' is relevant to Memorial City Mall as it describes the shopping experience at a mall. The phrase aligns with the business category 'Shopping mall' and description mentioning 'retail shops, dining, movies' which supports the concept of a one-stop shopping destination. The 5-star rating is consistent with the positive characterization.",,,,Memorial City Mall,"Large complex with familiar retail shops, dining, movies, a carousel, play area & ice-skating rink.",['Shopping mall']
Town Hearth,Great food. Great service. Great ambiance. Well worth the money,Valid,"The review provides a genuine assessment of the restaurant experience, mentioning food quality, service, and ambiance, which are all relevant to a steak house. The 5-star rating is consistent with the positive feedback.",,,,Town Hearth,"Swank space with raw bar, steaks & classic cocktails from Dallas chef Nick Badovinus.",['Steak house']
Chula's Sports Cantina,Good atmosphere.,Valid,"The review provides a genuine assessment of the establishment's atmosphere, which is directly relevant to a sports bar/restaurant. The 5-star rating is consistent with the positive comment about the atmosphere.",,,,Chula's Sports Cantina,"Scantily-clad female servers peddle beer, cocktails & margaritas alongside Mexican food & sports TV.","['Sports bar', 'Bar & grill', 'Mexican restaurant', 'Night club']"
JC's Deli & Grill,Good food! But kinda pricey.,Valid,"The review provides a genuine assessment of the food quality and pricing at the restaurant, which is directly relevant to a steak house establishment. The 5-star rating aligns with the positive comment about food quality, while also noting a concern about pricing.",,,,JC's Deli & Grill,,['Steak house']
