business_name,text,predicted_label,prediction_reason
"Buncha Hanoi, Inc.","Pretty good viet food in the suburbs, best you'll get outside of argyle I would say.  Service can be a bit slow though and it is a small place so ita noy great for large groups",Valid,"The review provides a genuine experience about Vietnamese food quality, service speed, and venue size at a Vietnamese restaurant. The 4-star rating aligns with the mixed positive/negative feedback, and the content is clearly relevant to the restaurant's category and dining experience."
Sport Clips Haircuts of East Peoria - River Front,Overpriced,Valid,"The review provides a genuine opinion about the pricing at a hair salon/barber shop, which is directly relevant to the business. The 2-star rating is consistent with the negative feedback about being overpriced."
Geneva Commons,Love walking around the commons window shopping or grab a quick lunch at the many fine restaurants,Valid,"The review describes a genuine experience at Geneva Commons, mentioning specific activities like window shopping and dining at restaurants, which aligns well with the shopping mall category and open-air plaza description. The 4-star rating is consistent with the positive sentiment expressed."
Sherwin-Williams Paint Store,"Extremely knowledgeable, patient, and friendly about what exterior products I needed to complete my project!",Valid,"The review describes a genuine experience at the paint store, praising staff knowledge and service quality for an exterior project. The 5-star rating is consistent with the positive feedback, and the content is directly relevant to the business category (paint store)."
Arandas TR,See Dave or Jimmy for the best prices and service!,Advertisement,"The review is primarily promotional in nature, directing customers to specific employees for 'best prices' rather than describing a genuine service experience at the tire shop."
Bargains In A Box,"Clean, we'll stocked, cordial personnel.",Valid,"The review provides a genuine assessment of the store experience, mentioning cleanliness, stock levels, and staff friendliness, which are all relevant to evaluating a home goods store. The 4-star rating is consistent with the positive feedback."
Kabobi - Persian and Mediterranean Grill,"This place is soooo delicious. Staff help you understand the menu if you are new to Persian food. You can keep it simple and do kabobs and grilled veggies. Or you can do more traditional foods with great flavors and seasonings. You order at the counter and they will bring you the food. Unless you are extremely hungry, I recommend sharing an entree with 2-3 people as the servings are HUGE. The soup is awesome too. Good for kids, families, and large groups.",Valid,"The review provides a detailed and genuine dining experience at the Persian/Mediterranean restaurant, describing the food quality, portion sizes, staff helpfulness, ordering process, and atmosphere. The 5-star rating is consistent with the positive review content, and all details are relevant to the restaurant's category and description."
Walgreens,Ordered pics online. Their website told me they were ready and I walk 5 blocks to get them and they are temporarily closed. Called and was told they didn't know when they would open. Why did they send me the email??. Never again,Valid,"The review describes a genuine experience with Walgreens' photo service - the reviewer ordered pictures online, received a ready notification, walked to the store, and found it closed. The complaint about poor communication and service is directly relevant to the business operations, and the 1-star rating is consistent with the negative experience described."
Papa G's - Huntley,"Great service, great food",Valid,"The review describes a genuine dining experience with positive feedback about service and food quality, which is directly relevant to this family restaurant. The 5-star rating is consistent with the positive text."
Great Wolf Lodge Water Park | Illinois,Everything was good except for room service. I am here tonight and have been waiting for almost an hour for a extra blanket and pillow. Called like 5 x and we still haven’t gotten a pillow and blanket to sleep as I write.,Valid,"The review describes a genuine experience at the location, specifically about room service issues during an actual stay. The 1-star rating is consistent with the negative experience described, and the content is directly relevant to the hotel/lodge services."
Tractor Supply Co.,Fast check outs,Valid,"The review provides a genuine experience about the checkout process at Tractor Supply Co., which is relevant to the business operations. The 5-star rating is consistent with the positive comment about fast service."
Family Video,They're decent on prices but their poor selection of classic films leaves something to be desired.,Valid,"The review provides a genuine assessment of the video rental store, discussing both pricing and film selection which are directly relevant to the business category and description. The 3-star rating aligns with the mixed feedback (positive on prices, negative on selection)."
McDonald's,"The Mocha Frapee and Carmel ice coffee was good...but liquid was running down cup, of ice coffee making it messy and slippery...I had to ask for napkins",Valid,"The review describes a genuine experience at McDonald's, mentioning specific beverages (Mocha Frappe and Caramel iced coffee) that are relevant to the coffee shop category. The reviewer provides specific feedback about the cup leaking and needing napkins, which shows they actually visited the location. The 4-star rating is consistent with the mixed but generally positive experience described."
Salon Xpression,"They are so clean, friendly people,A Must try",Valid,"The review describes a genuine experience at the nail salon, praising cleanliness and friendliness of staff, which is relevant to the business category. The 5-star rating is consistent with the positive feedback."
ILLINI CONVENIENCE,"Great stop for anything and everything you need! Honest, fast, and kind service here!

Have been going here for 20+ years!",Valid,"The review describes a genuine customer experience at the convenience store, mentioning specific positive aspects like honest, fast, and kind service, and indicates a long-term relationship with the business (20+ years). The 5-star rating is consistent with the positive text."
Perry Memorial Prompt Care,Great customer service.  We were seen very promptly by a tech and then the Nurse Practitioner was very kind and professional.  We will defentaly be back for minor services.,Valid,"The review describes a genuine healthcare experience at Perry Memorial Prompt Care, mentioning specific staff interactions (tech and Nurse Practitioner) and service quality. The positive content aligns with the 5-star rating and is clearly relevant to a walk-in medical clinic."
South Shore Hospital,"Very professional, not a long wait!",Valid,"The review provides a genuine experience about the hospital service, mentioning professional staff and reasonable wait times, which is directly relevant to a hospital's quality of care. The 4-star rating is consistent with the positive feedback."
Bartlett Aquatic Center,Love it here!,Valid,"The review expresses a genuine positive experience at the aquatic center with a 5-star rating that matches the enthusiastic text, and the content is relevant to the water park location."
American Security Services Inc,Seems  to be a very upcoming  security  agency.,Valid,"The review provides a relevant assessment of the security agency's prospects, which is appropriate for a security guard service business. The 4-star rating aligns with the positive sentiment expressed in the text."
QDOBA Mexican Eats,"Great food, fresh, great variety, and great service. Also, feedback given in surveys is taken in by corporate and they make adjustments based on that. I made a suggestion and the next time I was there they'd followed what I'd suggested.",Valid,"The review describes a genuine dining experience at QDOBA Mexican Eats, with specific details about food quality, service, and corporate responsiveness. The 5-star rating is consistent with the positive experience described, and the content is directly relevant to the restaurant."
Barcocina,Wait service was rather inattentive and cost for a few shared plates was quite high for run-of-the mill Mexican fare,Valid,"The review provides a genuine dining experience at the Mexican restaurant, commenting on specific aspects like wait service, cost, and food quality that are directly relevant to the business category and description."
Pershing Road Express $3 Car Wash,OK THEY DON'T CLEAN TO WELL ESPECIALLY YOUR TIRES.,Valid,"The review provides a genuine experience about the car wash service quality, specifically mentioning issues with tire cleaning, which is directly relevant to the car wash business and category."
Blackberry Market,Chicken avocado sandwich was great,Valid,"The review describes a genuine food experience at the location, mentioning a specific menu item (chicken avocado sandwich) that aligns with the cafe/restaurant categories and the description of offering quick meals. The 5-star rating is consistent with the positive feedback."
P.F. Chang's,Good food,Valid,"The review provides a genuine assessment of the food quality at P.F. Chang's, which is directly relevant to this Chinese/Asian restaurant. The 4-star rating aligns with the positive 'Good food' comment."
Flatlander Market,Great sandwiches and treats!,Valid,"The review describes a genuine experience with the food offerings (sandwiches and treats) at Flatlander Market, which aligns with the business categories (sandwich shop, cookie shop, etc.). The 5-star rating is consistent with the positive feedback."
Hardee's,Chicken tenders we're great!,Valid,"The review describes a genuine dining experience at Hardee's, mentioning chicken tenders which aligns with the fast-food restaurant category and description. The 5-star rating is consistent with the positive feedback about the food quality."
