business_name,text,predicted_label,prediction_reason
Bluebird Taproom,"Try our new succulent sets and get 20% off. Limited-time only, swing by today.",advertisement,Contains explicit discount percentage
Maple Bike Shop,Enjoy 20% off with every wood-fired pizzas. Available exclusively if you reserve a table.,advertisement,Contains explicit discount percentage
Silverleaf Music Academy,Special deal at bubble teas: enjoy 20% off when you grab yours before until supplies last.,advertisement,Contains explicit discount percentage
Crimson Dental Studio,Special deal at tandoori specials: enjoy buy 1 get 1 free when you join today before for the next 48 hours.,advertisement,Includes giveaway/freebie or BOGO promotion
Rosewood Trattoria,Our wood-fired pizzas is now just $29. Grab this deal before by Friday.,advertisement,Highlights specific price anchor as promotion
Nova Kitchen,Celebrate with us—bonus class included on all signature burgers this this weekend. Don’t miss out!,advertisement,Time-limited call-to-action
Skyline Wine Bar,Our tomahawk steaks is now just $99. Grab this deal before for the next 48 hours.,advertisement,Highlights specific price anchor as promotion
Starlight Tech Repair,Celebrate with us—a free sample gift on all taco trios this this week. Don’t miss out!,advertisement,Includes giveaway/freebie or BOGO promotion
Nova Auto Detailing,"Looking for the best stationery bundles? We’ve got you covered with bonus class included, valid by Sunday night.",advertisement,Promotional tone with call-to-action
Skyline Pet Supply,Join now and receive 30% off on your first eye exams. grab yours!,advertisement,Contains explicit discount percentage
Stonebridge Pilates Studio,Our ramen bowls is now just $99. Grab this deal before before month-end.,advertisement,Highlights specific price anchor as promotion
Stonebridge Gelateria,Our signature burgers is now just $99. Grab this deal before before month-end.,advertisement,Highlights specific price anchor as promotion
Nova Florist,Our cold brew coffee is now just $19. Grab this deal before all of September.,advertisement,Highlights specific price anchor as promotion
Amber Eye Clinic,"Looking for the best gel manicures? We’ve got you covered with 50% off, valid today.",advertisement,Contains explicit discount percentage
Oakwood Bistro,Celebrate with us—a free topping on all wine tastings this today. Don’t miss out!,advertisement,Includes giveaway/freebie or BOGO promotion
Nova Garden Center,Join now and receive 50% off on your first sushi platters. swing by!,advertisement,Contains explicit discount percentage
Aspen Yoga Studio,Our bootcamp classes is now just $39. Grab this deal before until supplies last.,advertisement,Highlights specific price anchor as promotion
Nova Music Academy,First-time visitors get a free sample gift for tandoori specials. Offer ends by Friday.,advertisement,Includes giveaway/freebie or BOGO promotion
Pearl Sushi Bar,First-time visitors get bonus class included for eye exams. Offer ends before month-end.,advertisement,Time-limited call-to-action
Maple Barbershop,Join now and receive bonus class included on your first taco trios. preorder!,advertisement,Promotional tone with call-to-action
