business_name,text,predicted_label,prediction_reason,name,description,category
Liddiard Home Furnishings,Very nice and quick service.,Valid,"The review describes a genuine experience with the service quality at the furniture store, and the 5-star rating is consistent with the positive feedback about 'nice and quick service'.",Liddiard Home Furnishings,,"['Furniture store', 'Appliance store', 'Carpet store', 'Flooring store', 'Furniture accessories', 'Home goods store', 'Mattress store', 'Wood and laminate flooring supplier']"
Rubio's,Good fish tacos.,Valid,"The review describes a genuine dining experience at Rubio's, praising their fish tacos which directly aligns with the business description of being known for Baja-style fish tacos. The 5-star rating is consistent with the positive comment.",Rubio's,Beach-themed chain known for Baja-style fish tacos & Mexican-inspired seafood entrees.,"['Seafood restaurant', 'Caterer', 'Family restaurant', 'Mexican restaurant', 'Restaurant', 'Vegan restaurant', 'Vegetarian restaurant']"
Classic Fun Center,"Everyone has a lot of fun it can get a little wild, but the atmosphere is great",Valid,"The review describes a genuine experience at the amusement center, mentioning fun atmosphere and activities getting 'a little wild', which is relevant to the business category and description. The 5-star rating is consistent with the positive experience described.",Classic Fun Center,"Amusement center offering a range of activities (roller-skating, laser tag, a water park & more).","['Amusement center', 'High ropes course', 'Indoor playground', 'Laser tag center', 'Roller skating rink']"
Su Casa,Love food grear,Valid,"The review expresses a positive sentiment about the food at a Mexican restaurant, which is directly relevant to the business. Despite the brief text and typo ('grear' likely means 'great'), the content relates to the dining experience and the 5-star rating is consistent with the positive feedback.",Su Casa,"Long-standing, comfy institution supplying down-to-earth Mexican provisions in a festive atmosphere.",['Mexican restaurant']
Jimmy John's,Good,Valid,"The review provides a genuine evaluation of the sandwich shop with a 3-star rating and brief positive comment 'Good', which is relevant to the business description and category.",Jimmy John's,"Counter-serve chain specializing in sub & club sandwiches, plus signature potato chips.","['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Delivery Restaurant', 'Takeout Restaurant']"
Chedda Burger,Good food. Just wish they had a bigger space.,Valid,"The review provides a genuine evaluation of the restaurant experience, commenting on both the food quality (positive) and physical space (constructive feedback). The 4-star rating aligns with the mixed but overall positive sentiment, and the content is directly relevant to dining at this hamburger restaurant.",Chedda Burger,"Brick-and-mortar outpost of a vibrant food truck known for its signature burgers, sides & shakes.","['Hamburger restaurant', 'Restaurant']"
Holiday Oil Co,"Regular gas station with gas, a good C store with most options for snacks, fountain drinks, doughnuts and a car wash. It’s next to Maceys grocery store. The staff is typically friendly. The restroom situation is not as good as other C stores with many stalls as this one has a room for men and women but only one at a time.",Valid,"The review provides a detailed and genuine assessment of the gas station, describing specific services (gas, convenience store, car wash), location details, staff friendliness, and facilities (restrooms). The content is highly relevant to the business category and the 5-star rating aligns with the generally positive tone of the review.",Holiday Oil Co,,['Convenience store']
Johnny Rockets,High priced and over rated food.  I do like the 50's style though and every one is usually friendly,Valid,"The review provides a genuine opinion about the restaurant experience, mentioning both food quality/pricing and atmosphere (50's style), along with service feedback. The 3-star rating is consistent with the mixed review content.",Johnny Rockets,"Burgers, shakes & fries arrive in a retro setting at this outpost of the international chain.","['Hamburger restaurant', 'American restaurant', 'Dance restaurant', 'Diner', 'Family restaurant', 'Lunch restaurant', 'New American restaurant', 'Restaurant', 'Traditional American restaurant']"
Campos Coffee SLC,"Though service delivery is often discombobulated, attitude, menu/food/drink quality, and atmosphere are 6 star-worthy. Coffee is unmatched in SLC (try a flight if you don't believe me). Superb for brunch.",Valid,"The review provides a genuine evaluation of the coffee shop experience, discussing specific aspects like service, food/drink quality, atmosphere, and coffee taste. The reviewer offers specific recommendations (coffee flight, brunch) and compares the coffee quality to others in SLC, indicating actual experience at the location.",Campos Coffee SLC,,['Coffee shop']
Café On Main,"Good service; simple, tasty, and affordable food (tastes home-made). Cozy atmosphere.",Valid,"The review describes a genuine dining experience at the restaurant, mentioning specific aspects like service quality, food taste and pricing, and atmosphere. The 5-star rating is consistent with the positive feedback about the Mediterranean restaurant.",Café On Main,,"['Mediterranean restaurant', 'Restaurant']"
Crown Burgers,"I like Crown Burger, though I don't eat there often.
I thought their dinner salad was lackluster.",Valid,"The review describes a genuine dining experience at Crown Burgers, mentioning specific food items (dinner salad) and providing balanced feedback. The 4-star rating is consistent with the mixed but generally positive sentiment expressed in the text.",Crown Burgers,"Local fast-food chain serving signature pastrami-topped burgers, gyros & other Greek eats.","['Hamburger restaurant', 'Fast food restaurant']"
The Centered Stone,Really nice fun experience. People here are very nice and knowledgeable about the salt. Very relaxing. They also sell all shapes and sizes of Himalayan salt here.,Valid,"The review describes a genuine experience at the wellness center, mentioning relaxing atmosphere, knowledgeable staff, and Himalayan salt products, which aligns well with the business categories (meditation center, wellness center). The 5-star rating is consistent with the positive experience described.",The Centered Stone,,"['Chiropractor', 'Event venue', 'Massage therapist', 'Meditation center', 'Wellness center']"
Borosyndicate Productions,"Awesome place! Super friendly staff, really nice selection, and really good prices.",Valid,"The review describes a genuine experience at the business, mentioning staff friendliness, product selection, and pricing, which are all relevant to a glass/tobacco shop. The 5-star rating is consistent with the positive feedback.",Borosyndicate Productions,,"['Manufacturer', 'Glass blower', 'Glass manufacturer', 'Glass shop', 'Tobacco shop']"
KSM Music,I had an exquisite time.,Valid,"The review expresses a positive experience ('exquisite time') that is relevant to a musical instrument store, and the 5-star rating is consistent with the positive sentiment.",KSM Music,,['Musical instrument store']
Straws,Tons of choices for any sweet tooth.,Valid,"The review describes a genuine experience about the variety of sweet options available, which is directly relevant to the business categories (cookie shop, ice cream shop, pretzel store) that cater to sweet treats. The 5-star rating is consistent with the positive comment.",Straws,,"['Beverage distributor', 'Cookie shop', 'Ice cream shop', 'Pretzel store']"
Huntsville Square,Best place on esrth,Irrelevant,"The review text 'Best place on esrth' is extremely vague and does not relate to any aspect of a wedding/event/live music venue. The misspelling of 'earth' and lack of any specific experience or venue-related content, combined with the extreme 5-star rating, indicates low relevancy to the business.",Huntsville Square,,"['Wedding venue', 'Event venue', 'Live music venue']"
O'Reilly Auto Parts,"They told me they dont warranty a battery that I got from them as ""they don't carry that brand"". I got home and found the receipt that I had purchased 2 yrs prior. I'll be returning in the morning to speak with a manager",Valid,The review describes a genuine customer service experience at an auto parts store regarding a battery warranty issue. The content is directly relevant to the business (auto parts store) and describes a specific interaction with staff about a product purchase and warranty claim.,O'Reilly Auto Parts,,"['Auto parts store', 'Auto body parts supplier', 'Car battery store', 'Car repair and maintenance', 'Car stereo store', 'Motorcycle parts store', 'Trailer supply store', 'Truck accessories store']"
Fredrico's Pizza,This is my absolute favorite pizza place!!! Can't say enough good about it!,Valid,The review expresses genuine enthusiasm about the pizza place with a 5-star rating that matches the positive sentiment. The content is directly relevant to the business (pizza restaurant) and describes a personal experience.,Fredrico's Pizza,,['Pizza restaurant']
Temple Square,"(Translated by Google) The place is fine, but I think there are many people dying from there, to spend so much money on facades that it does not help anyone.

(Original)
El lugar está bien, pero creo que hay mucha gente muriendo dé habré, para gastar tanto dinero en fachadas que no le sirve a nadie.",Valid,"The review expresses a genuine opinion about Temple Square, criticizing the spending on facades while acknowledging the place itself is 'fine'. Despite being negative, it relates directly to the location and reflects the reviewer's personal viewpoint about the religious organization's priorities, which is relevant to this Mormon church-owned plaza.",Temple Square,"Plaza owned by the Mormon church, with landscaped grounds, a visitors' center, walking tours & more.","['Religious organization', 'Museum', 'Religious destination', 'Tourist attraction']"
Dee's Automotive,"Great place to get your car fixed, and they look through your whole car to diagnose the problem you came in for,",Valid,"The review describes a genuine experience at an auto repair shop, mentioning specific services (car fixing and diagnostic process) that are directly relevant to the business category. The 5-star rating is consistent with the positive feedback about the service quality.",Dee's Automotive,,['Auto repair shop']
FedEx Ship Center,"Worthless company, 3 ""failed"" deliveries, what a joke of a company, maybe take a note from usps or ups cause fedex is hardly a legit company anymore. Really appalling, and good luck getting someone on the phone who is actually interested in resolving the situation.",Valid,"The review describes a genuine negative experience with FedEx's shipping services, specifically mentioning failed deliveries and customer service issues. The content is directly relevant to the business category (shipping and mailing service) and the 1-star rating is consistent with the strongly negative feedback about their service quality.",FedEx Ship Center,"Chain providing office & packaging supplies, plus a variety of services such as shipping & printing.","['Shipping and mailing service', 'Logistics service', 'Mailing service', 'Packaging supply store', 'Shipping company', 'Shipping service']"
South Davis Recreation Center,"Tried calling up their number but couldn't get an actual person. There was no button to press to get a person. Also on there website was, when I looked earlier this week, there were two different times for public swimming. Also they haven't updated their Facebook of their new public swimming times. Other than that, great customer service.",Valid,"The review describes a genuine experience attempting to contact the recreation center and provides specific feedback about communication issues, website inconsistencies, and outdated social media information. Despite some criticism, the reviewer acknowledges 'great customer service' and the content is directly relevant to the business operations and services.",South Davis Recreation Center,"Family fitness center offering swimming, ice-skating & weight training, plus classes & programs.","['Recreation center', 'Fitness center', 'Gym', 'Ice skating rink', 'Public swimming pool', 'Swimming pool']"
Arby's,Great food,Valid,"The review provides a genuine positive assessment of the food at Arby's, which is directly relevant to this fast-food restaurant. The 5-star rating is consistent with the positive comment 'Great food'.",Arby's,"Fast-food chain, known for its roast beef, serving up hot & cold sandwiches, fries & shakes.","['Fast food restaurant', 'American restaurant', 'Family restaurant', 'Sandwich shop']"
Arby's,Smelled strongly like smoke and not good food,Valid,"The review describes a genuine experience at the restaurant, commenting on the smell which is relevant to a dining establishment. The 3-star rating is consistent with the mixed/negative feedback about the food quality and atmosphere.",Arby's,"Fast-food chain, known for its roast beef, serving up hot & cold sandwiches, fries & shakes.","['Fast food restaurant', 'American restaurant', 'Family restaurant', 'Sandwich shop']"
Hogle Zoo,Super fun and the animals appear healthy and well taken care of.,Valid,"The review describes a genuine visit experience to the zoo, commenting on the fun factor and animal welfare, which directly relates to the zoo's services and mission. The 4-star rating is consistent with the positive feedback.",Hogle Zoo,"Modern, 42-acre zoo boasting hundreds of animals & tropical gardens, plus a train & carousel.","['Zoo', 'Animal park', 'Tourist attraction', 'Wildlife park']"
Rancherito's Mexican Food,Always good !,Valid,"The review expresses a positive opinion about the food quality at the Mexican restaurant, and the 4-star rating is consistent with the positive text 'Always good!'. The review is relevant to the business category and appears to be based on genuine experience.",Rancherito's Mexican Food,"Fast-food chain offering familiar Mexican fare, including breakfast options, around the clock.","['Mexican restaurant', 'Breakfast restaurant', 'Latin American restaurant', 'Taco restaurant']"
