business_name,text,predicted_label,prediction_reason,index,rating,error,name,description,category
Main Street Grind,Baylee is amazing!  She made a salted caramel mocha frapachino and It was PERFECT!,Valid,"The review describes a genuine experience at the coffee shop, mentioning a specific staff member (Baylee) and a specific drink (salted caramel mocha frappuccino). The content is directly relevant to the business category (coffee shop) and the 5-star rating is consistent with the enthusiastic positive feedback.",,,,Main Street Grind,,['Coffee shop']
Taco John's,John has some Tacos. Try em out.,Valid,"The review mentions tacos, which directly relates to the business (Taco John's) and its description as a fast-food chain featuring tacos. The 4-star rating is consistent with the positive recommendation to 'try em out'.",,,,Taco John's,"Fast-food chain featuring tacos, burritos, nachos & breakfasts mixing Mexican & Western flavors.","['Fast food restaurant', 'Breakfast restaurant', 'Diner', 'Mexican restaurant', 'Restaurant', 'Southwestern restaurant (US)', 'Tex-Mex restaurant']"
Pizza Pie On The Fly,Motherlode pizza is delicious!,Valid,"The review mentions 'Motherlode pizza is delicious!' which is directly relevant to a pizza restaurant. The 4-star rating is consistent with the positive sentiment, and the reviewer appears to be sharing a genuine experience about the food quality.",,,,Pizza Pie On The Fly,,"['Pizza restaurant', 'Delivery Restaurant']"
PetSmart,Clean and well put together store. Staff is friendly and helpful!,Valid,"The review describes a genuine shopping experience at PetSmart, mentioning the store's cleanliness, organization, and staff quality. The 5-star rating is consistent with the positive feedback about the store and staff.",,,,PetSmart,"Chain featuring a range of pets, supplies & food (most offer grooming, boarding & other services).","['Pet supply store', 'Pet adoption service', 'Pet groomer', 'Pet trainer']"
Sweet Crude Travel Center,I like there food here,Valid,"The review expresses a positive opinion about the food at the truck stop, which is relevant to the business category and represents a genuine experience, despite the minor grammatical error.",,,,Sweet Crude Travel Center,,['Truck stop']
La Quinta Inn & Suites by Wyndham Bismarck,"The pool was a little cold. Overall, though I'd say our stay was good. Housekeeping did a good job keeping our room stocked and clean.",Valid,"The review describes a genuine hotel stay experience, mentioning specific amenities (pool, housekeeping service) that are relevant to the hotel. The 4-star rating aligns with the balanced feedback (minor complaint about pool temperature but overall positive experience).",,,,La Quinta Inn & Suites by Wyndham Bismarck,"Casual hotel with an indoor pool & a gym, plus free continental breakfast, parking & WiFi.","['Hotel', 'Business center', 'Indoor lodging']"
New Salem Veterinary Clinic,"BEST PRICES and absolutely PERFECT care. If you’re considering making the drive from Bismarck due to outrageous pricing DO IT! The practice is such a short simple drive outta town, the prices are easily 1/3rd of Bismarck. The bedside care with all my family, human children included, astounded me.",Valid,"The review describes a genuine experience at the veterinary clinic, praising the care quality and pricing. The content is highly relevant to the veterinarian category and business, discussing specific aspects like pricing comparison, location convenience, and quality of care provided to pets.",,,,New Salem Veterinary Clinic,,['Veterinarian']
Taco John's,"I'm wondering if the portions have gotten smaller... a super burrito, and a ranch burrito  end up being the same size now...hmmmm",Valid,"The review describes a genuine experience at Taco John's, discussing specific menu items (super burrito and ranch burrito) and portion sizes, which is directly relevant to the restaurant's food service. The 4-star rating suggests overall satisfaction despite the concern about portion sizes.",,,,Taco John's,"Fast-food chain featuring tacos, burritos, nachos & breakfasts mixing Mexican & Western flavors.","['Fast food restaurant', 'Breakfast restaurant', 'Diner', 'Mexican restaurant', 'Restaurant', 'Southwestern restaurant (US)', 'Tex-Mex restaurant']"
Fargo Brewing Company AleHouse,Great ambience; love FBC beer selection; unique menu!,Valid,"The review describes a genuine dining and drinking experience at the brewpub, mentioning specific aspects like ambience, beer selection, and menu. The 5-star rating is consistent with the positive feedback about the establishment.",,,,Fargo Brewing Company AleHouse,,['Brewpub']
Subway,Good quick healthy fresh and friendly staff that really aim to please. I love it prolly to much.,Valid,"The review describes a genuine dining experience at Subway, mentioning specific aspects like food quality (quick, healthy, fresh), staff service (friendly, aim to please), and personal opinion. The 5-star rating is consistent with the positive text about the sandwich shop.",,,,Subway,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.","['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']"
Cenex,Always a good visit!  The burritos and quesadillas are very filling.  They also have a large variety of items in the store.,Valid,"The review describes a genuine experience at the gas station/truck stop, mentioning specific food items (burritos and quesadillas) and store variety, which are typical offerings at such establishments. The 5-star rating is consistent with the positive experience described.",,,,Cenex,,['Gas station']
Dollar General,No condoms sad day but they had every thing else you could need .love this place,Valid,"The review describes a genuine shopping experience at Dollar General, mentioning specific products they were looking for and their overall positive impression of the store's inventory, which is relevant to a discount/convenience store.",,,,Dollar General,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.","['Dollar store', 'Beauty supply store', 'Discount store', 'Grocery store', 'Party store']"
Family Dollar,So happy to see they finally got Sara Lee bread,Valid,"The review describes a genuine shopping experience at Family Dollar, mentioning a specific grocery product (Sara Lee bread) which is relevant to the store's category as a grocery/dollar store that carries food items.",,,,Family Dollar,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.","['Dollar store', 'Clothing store', 'Discount store', 'Discount supermarket', 'School supply store', 'Tobacco shop', 'Toy store']"
Texas Roadhouse,Really good food and service,Valid,"The review provides a genuine assessment of the restaurant experience, praising both food quality and service, which directly relates to Texas Roadhouse as a steakhouse/American restaurant. The 4-star rating is consistent with the positive feedback.",,,,Texas Roadhouse,Lively chain steakhouse serving American fare with a Southwestern spin amid Texas-themed decor.,"['Steak house', 'American restaurant', 'New American restaurant']"
"Purr-fect Pets, Inc.",Very helpful! Love the groomer!,Valid,"The review describes a genuine positive experience with the pet grooming service, which is relevant to a pet store business. The 5-star rating is consistent with the positive feedback about the groomer being helpful.",,,,"Purr-fect Pets, Inc.",,"['Pet store', 'Pet supply store', 'Tropical fish store']"
Sheyenne River,"Good river, pretty wet. Great home for fish and other aquatic species. Boats seem to like the water. Many bridges around since cars don't like the water. Not sure who designed the river path, but it seems to just go wherever it wants. Take it long enough and you'll get to visit Canada via the Red River. Docked one star because if Devil's lake natural dam washes out, it will destroy most things down stream, and that's not desirable.",Valid,"The review provides a genuine and detailed assessment of the Sheyenne River, discussing relevant aspects like water quality, wildlife, navigation, geography, and potential environmental concerns. The 4-star rating aligns with the mostly positive but realistic tone of the review.",,,,Sheyenne River,,['River']
Sterling Truck Stop,You can get gas here!,Valid,"The review mentions getting gas, which is directly relevant to the business categories (Truck stop, Gas, Gas station). Despite being brief, the content aligns with the services offered at this location.",,,,Sterling Truck Stop,,"['Truck stop', 'Gas', 'Gas station']"
Fargo Theatre,"Classic, old theater. No recliners. No 30 minutes of previews. No cup holders. Just quality movies in a historic setting. Don't expect to park close, but a walk in downtown is good. AND when was the last time a theater employee said, ""Goodnight and thanks for coming,"" at the megaplex?",Valid,"The review provides a genuine experience about visiting the Fargo Theatre, describing specific aspects of the theater (no recliners, no cup holders, historic setting), parking situation, and positive interaction with staff. The 4-star rating aligns with the mixed but generally positive tone of the review.",,,,Fargo Theatre,"Restored 1926 vaudeville theater now showing indie & foreign films, live concerts, plays & comedy.",['Movie theater']
Village Inn,Great service and delicious food,Valid,"The review describes a genuine dining experience with positive feedback about service and food quality, which is directly relevant to this American restaurant. The 4-star rating is consistent with the positive text.",,,,Village Inn,Family-friendly chain serving homestyle American classics such as chicken-fried steak & pot pie.,['Restaurant']
Bone's BBQ Smokehouse & Grill,"This place is amazing! The food was great, staff was friendly. Definitely must visit in the minor area.",Valid,The review describes a genuine dining experience at the barbecue restaurant with positive feedback about food quality and staff service. The 5-star rating is consistent with the positive text content.,,,,Bone's BBQ Smokehouse & Grill,,"['Barbecue restaurant', 'Restaurant']"
T.J. Maxx,"This store has a little bit of everything, so cool.",Valid,"The review describes a genuine shopping experience at T.J. Maxx, commenting on the store's variety of merchandise which aligns with the business description and categories. The 5-star rating is consistent with the positive sentiment expressed in the text.",,,,T.J. Maxx,"Retail chain featuring stylish brand-name apparel, shoes & accessories, plus housewares.","['Department store', ""Children's clothing store"", 'Clothing store', 'Jewelry store', ""Men's clothing store"", 'Sunglasses store', 'Swimwear store', ""Women's clothing store""]"
Venture Chiropractic,"been there when i needed them, you guys are the best",Valid,"The review describes a genuine experience at the chiropractic clinic, expressing satisfaction with their service when needed. The 5-star rating is consistent with the positive sentiment, and the content is relevant to the healthcare services provided by the business.",,,,Venture Chiropractic,,"['Chiropractor', 'Rehabilitation center', 'Vitamin & supplements store']"
BernBaum's,"Loved the food, the atmosphere, and the company.great place for great eats",Valid,"The review describes a genuine dining experience at the restaurant, praising the food and atmosphere. The 5-star rating is consistent with the positive feedback, and the content is relevant to the business category (Restaurant/Bagel shop) and description (casual dining with various food options).",,,,BernBaum's,"Casual stop for bagels, sandwiches, latkes, knishes & blintzes, plus classic deli sides & soups.","['Restaurant', 'Bagel shop']"
