business_name,text,predicted_label,prediction_reason,name,description,category
Perry Memorial Prompt Care,Great customer service.  We were seen very promptly by a tech and then the Nurse Practitioner was very kind and professional.  We will defentaly be back for minor services.,Valid,"The review describes a genuine healthcare experience at the medical clinic, mentioning specific staff interactions (tech and Nurse Practitioner) and service quality. The 5-star rating is consistent with the positive feedback about customer service and professionalism.",Perry Memorial Prompt Care,,"['Walk-in clinic', 'Doctor', 'Medical clinic', 'X-ray lab']"
Sport Clips Haircuts of East Peoria - River Front,Overpriced,Valid,"The review provides a genuine opinion about the pricing of the hair salon service, which is directly relevant to the business category and customer experience.",Sport Clips Haircuts of East Peoria - River Front,,"['Hair salon', 'Barber shop']"
Geneva Commons,Love walking around the commons window shopping or grab a quick lunch at the many fine restaurants,Valid,"The review describes a genuine experience at Geneva Commons, mentioning specific activities like window shopping and dining at restaurants, which directly relates to the shopping mall's description and category. The 4-star rating is consistent with the positive sentiment expressed.",Geneva Commons,"Open-air plaza with higher-end & mainstream chain stores, family-friendly restaurants & salons.",['Shopping mall']
Sherwin-Williams Paint Store,"Extremely knowledgeable, patient, and friendly about what exterior products I needed to complete my project!",Valid,"The review describes a genuine experience at the paint store, praising the staff's knowledge and helpfulness with exterior products, which directly relates to the business category and services. The 5-star rating is consistent with the positive feedback.",Sherwin-Williams Paint Store,,"['Paint store', 'Home improvement store', 'Paint manufacturer', 'Painting', 'Paintings store', 'Wallpaper store']"
Walgreens,Ordered pics online. Their website told me they were ready and I walk 5 blocks to get them and they are temporarily closed. Called and was told they didn't know when they would open. Why did they send me the email??. Never again,Valid,"The review describes a genuine experience with the business's photo service, which is explicitly mentioned in the description as one of their services. The customer ordered photos online, received notification they were ready, but found the store temporarily closed upon arrival. The 1-star rating is consistent with the frustrating experience described.",Walgreens,"Drugstore chain with health & beauty aids, prescriptions & photo services, plus mini-mart basics.","['Drug store', 'Beauty supply store', 'Convenience store', 'Cosmetics store', 'Greeting card shop', 'Perfume store', 'Stationery store']"
Arandas TR,See Dave or Jimmy for the best prices and service!,Valid,"The review recommends specific staff members (Dave or Jimmy) for good prices and service at a tire shop, which is directly relevant to the business category and describes a genuine customer experience.",Arandas TR,,"['Tire shop', 'Used tire shop', 'Wheel alignment service', 'Wheel store']"
Bargains In A Box,"Clean, we'll stocked, cordial personnel.",Valid,"The review describes a genuine shopping experience at the home goods store, mentioning cleanliness, stock availability, and staff friendliness, which are all relevant aspects of a retail location. The 4-star rating is consistent with the positive feedback.",Bargains In A Box,,['Clothing store']
Kabobi - Persian and Mediterranean Grill,"This place is soooo delicious. Staff help you understand the menu if you are new to Persian food. You can keep it simple and do kabobs and grilled veggies. Or you can do more traditional foods with great flavors and seasonings. You order at the counter and they will bring you the food. Unless you are extremely hungry, I recommend sharing an entree with 2-3 people as the servings are HUGE. The soup is awesome too. Good for kids, families, and large groups.",Valid,"The review provides a detailed and genuine experience about dining at this Persian/Mediterranean restaurant. The reviewer describes the food quality, staff helpfulness, ordering process, portion sizes, and atmosphere, which are all directly relevant to the restaurant's category and description. The 5-star rating is consistent with the positive review content.",Kabobi - Persian and Mediterranean Grill,"Casual, counter-serve fixture with sizable portions of homemade Mediterranean & Middle Eastern fare.","['Persian restaurant', 'Mediterranean restaurant', 'Middle Eastern restaurant', 'Restaurant']"
"Buncha Hanoi, Inc.","Pretty good viet food in the suburbs, best you'll get outside of argyle I would say.  Service can be a bit slow though and it is a small place so ita noy great for large groups",Valid,"The review provides a genuine assessment of a Vietnamese restaurant, mentioning food quality, service speed, and restaurant size. The 4-star rating is consistent with the mixed but generally positive feedback about the food being 'pretty good' while noting some drawbacks.","Buncha Hanoi, Inc.",,"['Restaurant', 'Vietnamese restaurant']"
Great Wolf Lodge Water Park | Illinois,Everything was good except for room service. I am here tonight and have been waiting for almost an hour for a extra blanket and pillow. Called like 5 x and we still haven’t gotten a pillow and blanket to sleep as I write.,Valid,"The review describes a genuine experience at the hotel/water park, specifically about room service issues during their stay. The 1-star rating is consistent with the negative experience described, and the content is directly relevant to the lodging services provided by Great Wolf Lodge.",Great Wolf Lodge Water Park | Illinois,"Warmly decorated suites in a down-to-earth hotel offering a water park, restaurants & a bar.","['Water park', 'Amusement park', 'Hotel', 'Lodge', 'Resort hotel', 'Restaurant', 'Tourist attraction']"
Barnes & Noble,My always go to place to get my books. My nerdy haven lol,Valid,"The review describes a genuine experience at Barnes & Noble, mentioning getting books and calling it a 'nerdy haven', which is clearly relevant to a bookstore. The 5-star rating is consistent with the positive sentiment expressed.",Barnes & Noble,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.","['Book store', 'Cafe', 'Childrens book store', 'Hobby store', 'Toy store']"
Papa G's - Huntley,"Great service, great food",Valid,"The review describes a genuine dining experience with positive feedback about service and food quality, which directly relates to Papa G's restaurant. The 5-star rating is consistent with the positive text.",Papa G's - Huntley,Old-fashioned eatery offering a traditional American menu & breakfast all day in a casual space.,"['Family restaurant', 'Breakfast restaurant', 'Brunch restaurant', 'Diner', 'Lunch restaurant']"
South Shore Hospital,"Very professional, not a long wait!",Valid,"The review describes a genuine experience at the hospital, commenting on staff professionalism and wait times, which are directly relevant to hospital services. The 4-star rating is consistent with the positive feedback.",South Shore Hospital,,['General hospital']
