business_name,text,predicted_label,prediction_reason,description,category
AutoZone Auto Parts,It's getting I can't afford to live in Lawton,Irrelevant,"The review text about not being able to afford living in Lawton is completely unrelated to AutoZone's auto parts business, services, or customer experience at the store.",,"['Auto parts store', 'Car accessories store', 'Car battery store', 'Tool rental service']"
Dollar Tree,They have small aluminum pans and the price is perfect!,Valid,"The review describes a genuine shopping experience at Dollar Tree, mentioning specific products (aluminum pans) and pricing, which is directly relevant to the store's business as a discount retailer.","Chain offering an eclectic mix of household items, beauty products, food & more at discount prices.","['Dollar store', 'Craft store', 'Discount store', 'Grocery store', 'Home goods store', 'Kitchen supply store', 'Party store', 'School supply store', 'Toy store', 'Variety store']"
OK Wheel & Brake,"Parts changers. Got told it was one thing, ended up being something else. After they ""fixed"" the part that had nothing to do with the REAL problem. Won't be back.",Valid,"The review describes a genuine negative experience at an auto repair shop, detailing issues with misdiagnosis and poor service quality. The 1-star rating is consistent with the negative experience described, and the content is directly relevant to the business category.",,['Auto repair shop']
Stillhouse Bar and Grill,Great food good service,Valid,"The review provides a genuine assessment of the restaurant experience, commenting on both food quality and service, which are directly relevant to a bar and grill establishment. The 5-star rating is consistent with the positive feedback.",,['Bar & grill']
Four Star Import,"Went in to get a taillight for my wife's Odyssey van. Fast, friendly, and competitively priced!",Valid,"The review describes a genuine experience purchasing auto parts (taillight for an Odyssey van) at an auto parts store, with specific details about service quality and pricing. The 5-star rating is consistent with the positive experience described.",,"['Auto repair shop', 'Auto parts store', 'Brake shop', 'Car repair and maintenance', 'Engine rebuilding service', 'Oil change service']"
David Stanley CDJR,"This is our 2nd consecutive purchase from David Stanley, but first from CDJR. Curtis & Jacob were courteous, patient, & knowledgeable. Frank, in finance, was amazing. We had to wait a while to get into Frank's office as they sold a lot of vehicles but when we did, it was no more than 45mins! I got my paperwork in ONE WEEK! Jacob called to be sure I am enjoying my brand new Cherokee & ask if i have any issues. Absolutely the best car buying experience we've ever had.",Valid,"The review describes a genuine car purchasing experience at the dealership, mentioning specific staff members (Curtis, Jacob, Frank), the buying process, and follow-up service. The content is directly relevant to the car dealer business and the 5-star rating aligns with the positive experience described.",,"['Car dealer', 'Auto body shop', 'Auto electrical service', 'Auto parts store', 'Auto repair shop', 'Auto tune up service', 'Dodge dealer', 'Used car dealer']"
ALDI,Good prices,Valid,"The review provides a genuine assessment of the grocery store, commenting on pricing which is directly relevant to the shopping experience at ALDI. The 4-star rating is consistent with the positive comment about good prices.","Retail chain selling a range of grocery items, meat & dairy.","['Grocery store', 'Supermarket']"
Dave & Buster's,Very fun and good service,Valid,"The review describes a genuine experience at Dave & Buster's, mentioning 'fun' (relevant to the amusement/arcade aspect) and 'good service' (relevant to the restaurant/service aspect). The 5-star rating is consistent with the positive feedback about the entertainment venue.",Family-friendly chain offering a sports-bar-style setting for American food & arcade games.,"['Restaurant', 'Amusement center', 'Bar & grill', 'Bowling alley', 'Corporate entertainment service', 'Event venue', 'Pool hall', 'Video arcade']"
Antique Cowboy Emporium Inc,"Great food. Best fries around....mmmmm.
Friendly service.
We will be back.
Thank you.
Sorry I forgot to take a photo is was really good.",Irrelevant,"The review discusses food and fries, but the business is an antique store. The review content is completely unrelated to antiques or the services provided by an antique store.",,['Antique store']
District Hotel OKC,I like playing pool,Irrelevant,"The review text 'I like playing pool' is too vague and does not relate to the hotel/resort experience. While the business has pools, the comment about 'playing pool' appears to refer to the game of pool/billiards rather than swimming pools, making it unrelated to this gay resort hotel.","Gay resort for the 21-&-over set featuring basic quarters, nightclubs, outdoor pools & a piano bar.",['Resort hotel']
Best Buy,Clean store with tons of customer support!,Valid,"The review describes a genuine shopping experience at Best Buy, mentioning the store's cleanliness and customer support, which are relevant aspects of an electronics retail store. The 5-star rating is consistent with the positive feedback about the store environment and service.","Chain retailer with a large array of brand-name electronics, computers, appliances & more.","['Electronics store', 'Appliance store', 'Computer store', 'Home theater store', 'Music store', 'Video game store', 'Video store']"
Burger King,Hamburgers are always good. The ice cream cones are delicious.,Valid,"The review describes a genuine experience at Burger King, mentioning hamburgers and ice cream cones which are relevant to this fast-food restaurant. The 3-star rating is consistent with the moderately positive feedback.","Well-known fast-food chain serving grilled burgers, fries & shakes, plus breakfast.","['Restaurant', 'Fast food restaurant']"
Huddle House,Very polite and the most friendliest staff.,Valid,"The review describes a genuine experience with the restaurant staff, which is directly relevant to dining at Huddle House. The 5-star rating is consistent with the positive feedback about polite and friendly service.","Casual chain open 24/7 offering all-day breakfast, plus other hearty American eats.","['American restaurant', 'Breakfast restaurant', 'Brunch restaurant', 'Diner', 'Hamburger restaurant', 'Takeout Restaurant', 'Restaurant', 'Sandwich shop']"
Savoy,Best breakfast lunch and dinner in town only open to about 1 so be early,Valid,"The review describes a genuine dining experience at the restaurant, mentioning breakfast, lunch, and dinner which aligns with the business category as a family restaurant and breakfast/brunch restaurant. The operational hours mentioned ('only open to about 1') provides useful information for other customers, and the 5-star rating is consistent with the positive text praising the food quality.","Old-fashioned family-owned cafe known for its hearty, homestyle meals, cinnamon rolls & pies.","['Family restaurant', 'American restaurant', 'Breakfast restaurant', 'Brunch restaurant', 'Caterer', 'Diner', 'Restaurant']"
Tavolo: an Italian Bistro,Lunch is always good,Valid,"The review provides a genuine assessment of the dining experience at an Italian restaurant, with the 5-star rating consistent with the positive comment about lunch quality.","Multilevel Italian cafe with a contemporary vibe, many wines & a menu of housemade pastas & entrees.","['Italian restaurant', 'Coffee shop']"
Denny's,Great place to eat,Valid,"The review provides a positive assessment of the dining experience at Denny's, which is directly relevant to the restaurant's purpose as a diner serving American comfort food. The 5-star rating aligns with the positive text.","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.","['Diner', 'American restaurant', 'Breakfast restaurant']"
Five Below,Thank you,Irrelevant,"The review text 'Thank you' is extremely short and vague, with no clear connection to Five Below's business as a teen-oriented variety store. The 5-star rating paired with such minimal, non-descriptive content suggests low relevancy to the actual shopping experience or products offered.","Teen-oriented retail chain for a large assortment of games, snacks, jewelry, room decor & more.","['Variety store', 'Candy store', 'Fashion accessories store', 'Gift shop', 'Toy store']"
Dollar Tree,Best place to get party supplies,Valid,"The review describes a genuine experience about getting party supplies at Dollar Tree, which aligns with the business category as a 'Party store' and the description of offering household items at discount prices. The 5-star rating is consistent with the positive text.","Chain offering an eclectic mix of household items, beauty products, food & more at discount prices.","['Dollar store', 'Craft store', 'Discount store', 'Grocery store', 'Home goods store', 'Kitchen supply store', 'Party store', 'School supply store', 'Toy store', 'Variety store']"
Access Medical Centers Urgent Care,Friendly staff and no long wait list on the day that I  visited.,Valid,"The review describes a genuine experience at the urgent care center, mentioning specific aspects like friendly staff and wait times that are directly relevant to the healthcare service provided.",,"['Urgent care center', 'Doctor', 'Emergency care service', 'Physical examination center', 'STD testing service', 'Walk-in clinic', 'X-ray lab']"
Love's Travel Stop,Not enough shower and not enough parking spaces for semis,Valid,"The review provides specific feedback about shower facilities and semi truck parking, which are directly relevant to a truck stop's services and facilities. The 2-star rating aligns with the negative experience described.",,"['Truck stop', 'Convenience store', 'Gas station']"
Dr Z Leaf Dispensary,Great experience!! Knowledgeable people!!!,Valid,"The review describes a genuine positive experience at the cannabis dispensary, with specific praise for the knowledgeable staff. The 5-star rating is consistent with the enthusiastic positive text.",,['Cannabis store']
Los Vaqueros #4,Great food.  BEST Mexican food in the surrounding area.,Valid,"The review provides a genuine opinion about the Mexican food quality at this Mexican restaurant, with a 5-star rating that matches the positive sentiment expressed in the text.","Local mainstay serving big portions of traditional Mexican fare amid a warm, family-friendly vibe.",['Mexican restaurant']
Taco Bueno,"(Translated by Google) Mmmm guys!

(Original)
Mmmm muchacos!",Valid,"The review expresses positive sentiment ('Mmmm') about the food experience at this Mexican restaurant, which is relevant to the business category and description. Despite being brief and bilingual, it represents a genuine reaction to the dining experience.","Counter-serve Mexican chain offering tacos, burritos & quesadillas plus a serve-yourself salsa bar.","['Fast food restaurant', 'Mexican restaurant', 'Restaurant']"
El Gallo Loco 2,Grate food good service,Valid,"The review describes a genuine dining experience with positive comments about food quality and service at a Mexican restaurant, and the 5-star rating is consistent with the positive text.",,['Mexican restaurant']
Texas de Brazil,Good food but they make everything very salty. The Brazilian sangria is amazing.,Valid,"The review describes a genuine dining experience at the Brazilian restaurant, mentioning specific food quality (salty) and drinks (Brazilian sangria), with a 4-star rating that aligns with the mixed but generally positive feedback.",Upscale Brazilian eatery featuring all-you-can-eat grilled meat carved tableside & a salad bar.,"['Steak house', 'Brazilian restaurant', 'Latin American restaurant', 'Meat dish restaurant', 'Restaurant', 'South American restaurant']"
The Crawfish Pot,Excellent food and great service!,Valid,The review describes a genuine dining experience with positive comments about food and service that are directly relevant to this seafood restaurant. The 5-star rating is consistent with the positive feedback.,"A menu specializing in boiled seafood meals with an array of sides, apps & happy hour specials.",['Seafood restaurant']
