business_name,text,predicted_label,prediction_reason,description,category
"Bella's Boutique Spa","Just booked my third facial package this month. They're offering 30% off all treatments for new clients. Can't resist these deals.",Advertisement,"The text explicitly mentions promotional offers and deals, indicating commercial intent rather than genuine customer feedback.","Luxury day spa offering massages, facials, and wellness treatments","['Spa', 'Beauty salon', 'Massage therapist', 'Wellness center']"
"Mountain Peak Fitness","Finally found a gym that gets it. Sign up this week and get 3 months free personal training. Already seeing amazing results.",Advertisement,"Contains specific promotional offer details and sales language typical of advertising content.","24-hour fitness center with state-of-the-art equipment and classes","['Gym', 'Fitness center', 'Personal trainer', 'Health club']"
"The Garden Grille","Their new summer menu is incredible. Mention this review for a free appetizer with any entree. Fresh ingredients daily.",Advertisement,"Includes a promotional offer and marketing language about menu features.","Farm-to-table restaurant specializing in organic cuisine","['Restaurant', 'Vegetarian restaurant', 'Organic restaurant', 'American restaurant']"
"TechPro Solutions","Got my laptop fixed in just 2 hours. They're the best in town - 50% off virus removal this month only.",Advertisement,"Contains time-limited promotional offer and superlative marketing claims.","Computer repair and IT services for businesses and individuals","['Computer repair service', 'Electronics store', 'IT support', 'Computer store']"
"Sunrise Yoga Studio","Life-changing experience. Join their unlimited monthly membership for just $49 - best investment I've made.",Advertisement,"Promotional pricing information and exaggerated marketing claims indicate advertising.","Boutique yoga studio offering various styles and skill levels","['Yoga studio', 'Fitness center', 'Meditation center', 'Wellness center']"
"Pizza Palace Express","Best pizza deal in the city - large 3-topping for $9.99. Order online and get free delivery too.",Advertisement,"Explicit pricing and promotional offers with call-to-action language.","Family pizzeria with quick delivery and dine-in options","['Pizza restaurant', 'Italian restaurant', 'Delivery service', 'Fast food restaurant']"
"Elite Auto Care","Just got my oil change - they're running a special: $19.99 with free tire rotation. Book now before it ends.",Advertisement,"Time-sensitive promotional offer with specific pricing and urgency language.","Full-service auto repair and maintenance shop","['Auto repair shop', 'Oil change service', 'Tire shop', 'Car inspection station']"
"Cozy Coffee Corner","Their loyalty program is amazing - buy 5 drinks, get the 6th free. Plus, new seasonal flavors just dropped.",Advertisement,"Loyalty program promotion and marketing announcement about new products.","Independent coffee shop with artisanal drinks and pastries","['Coffee shop', 'Cafe', 'Bakery', 'Breakfast restaurant']"
"Dream Dental Care","Whitest smile I've ever had. New patients get free consultation and X-rays. Call today.",Advertisement,"Direct call-to-action with new patient promotion indicates advertising.","Modern dental practice offering comprehensive oral care","['Dentist', 'Cosmetic dentist', 'Dental clinic', 'Orthodontist']"
"Fashion Forward Boutique","Obsessed with their new collection. Use code SUMMER20 for 20% off everything this weekend.",Advertisement,"Includes promotional code and time-limited discount offer.","Trendy clothing store featuring designer and local brands","['Clothing store', 'Women's clothing store', 'Boutique', 'Fashion accessories store']"
"Green Thumb Landscaping","Transformed my yard completely. Free estimates and 15% off for first-time customers.",Advertisement,"Contains new customer discount offer and promotional language.","Professional landscaping and lawn care services","['Landscaper', 'Lawn care service', 'Garden center', 'Tree service']"
"Harmony Music Academy","My kids love their teachers. Enroll now and get the first month half off.",Advertisement,"Enrollment promotion with specific discount offer.","Music school offering lessons for all ages and instruments","['Music school', 'Music instructor', 'Piano instructor', 'Guitar instructor']"
"Crystal Clear Windows","Spotless results every time. Book 3 cleanings and get the 4th free.",Advertisement,"Buy-multiple-get-free promotion typical of advertising.","Professional window cleaning for residential and commercial","['Window cleaning service', 'Cleaning service', 'Pressure washing service']"
"The Pet Paradise","My dog has never been happier. New grooming packages starting at just $35.",Advertisement,"Promotional pricing information for services.","Full-service pet grooming and boarding facility","['Pet groomer', 'Pet boarding service', 'Pet store', 'Dog daycare']"
"Zen Massage Therapy","Best deep tissue massage ever. Couples packages now 25% off through the end of the month.",Advertisement,"Time-limited promotional offer with specific discount percentage.","Therapeutic massage clinic specializing in pain relief","['Massage therapist', 'Spa', 'Wellness center', 'Physical therapy clinic']"
"Burger Barn","Juiciest burgers in town. Try our new combo meal - burger, fries, and drink for only $7.99.",Advertisement,"Menu promotion with specific pricing and marketing claims.","Classic American burger joint with hand-cut fries","['Hamburger restaurant', 'American restaurant', 'Fast food restaurant', 'Bar and grill']"
"Swift Delivery Co","Package arrived in record time. Same-day delivery now available - first delivery free with signup.",Advertisement,"New service promotion with free trial offer.","Local courier and package delivery service","['Delivery service', 'Courier service', 'Shipping service', 'Logistics service']"
"Luxe Hair Studio","My hair has never looked better. Book your color service and get a free blowout.",Advertisement,"Service bundle promotion typical of salon advertising.","High-end hair salon specializing in color and styling","['Hair salon', 'Beauty salon', 'Barber shop', 'Hair extensions service']"
"FitLife Nutrition","These protein shakes changed my workout game. Buy 2 tubs, get the 3rd 50% off.",Advertisement,"Multi-buy discount promotion for products.","Health supplement store and nutrition counseling","['Vitamin and supplements store', 'Health food store', 'Nutrition consultant']"
"Sparkle Car Wash","My car looks brand new. Unlimited monthly washes for just $29.99 - best deal ever.",Advertisement,"Subscription service promotion with pricing details.","Automated and hand car wash with detailing services","['Car wash', 'Auto detailing service', 'Car care']"
"The Study Spot Cafe","Perfect place to work. Free WiFi and 20% student discount on all drinks.",Advertisement,"Target audience promotion with specific discount offer.","Quiet cafe designed for studying and remote work","['Cafe', 'Coffee shop', 'Internet cafe', 'Study space']"
"Adventure Outdoor Gear","Geared up for my best camping trip. End of season sale - up to 40% off all tents.",Advertisement,"Seasonal sale promotion with discount percentage.","Outdoor equipment and apparel for hiking and camping","['Outdoor equipment store', 'Sporting goods store', 'Camping store']"
